label,title,description
1,Mortar attack wounds Iraqi guards,"Eight Iraqi National Guard members have been wounded in a mortar attack on their base in Baghdad, police said. Police said five mortars landed on the base in the al-Waziriya neighborhood of the capital on Thursday."
1,"Battle rages in rebel stronghold, as aid workers flee Iraq",US forces continued to battle Iraqis in the insurgent bastion of Falluja on Wednesday as the kidnapping of two Italian aid workers in central Baghdad prompted workers for foreign charities workers to consider leaving Iraq.
1,Fog could mar Taj night-viewing in winter months,"Agra, Nov. 28 (PTI): The idea is right. But the timing is wrong. Being undertaken on an experimental basis for three months, night-viewing of the Taj Mahal may well be spoiled by an unwanted winter visitor -- the fog."
1,Peru Photo Exhibit a Powerful Reminder (AP),"AP - The walk through the decaying seaside mansion is a grim reminder of the political carnage that wracked Peru over two decades and killed nearly 70,000 people. The photos stare from peeling walls in a stark chronicle of the bloodbath."
1,Israeli Nuclear Whistle Blower Arrested (AP),"AP - Heavily armed police commandos stormed a Jerusalem church compound and arrested nuclear whistle blower Mordechai Vanunu on Thursday, drawing harsh condemnation from the Anglican Church to which he belongs."
1,"Chissano hopes legacy is Mozambique peace, prosperity",Mozambique President Joaquim Chissano said on Thursday he was happy to quit as Mozambique #39;s leader and hoped to be remembered for securing peace and rapid economic growth in the once war-torn country.
1,Florida Supreme Court puts Nader on state ballot (AFP),"AFP - The Florida Supreme Court has ruled Ralph Nader can appear on state ballots as a presidential candidate, increasing the chance the maverick contender will again influence the outcome of the presidential election."
1,British government to redeploy troops to central Iraq,The British government says it #39;ll honor the US request to send a battalion of troops to central Iraq. British Defense Secretary Geoff Hoon says there #39;s  quot;a compelling military operational justification quot; for the redeployment.
1,Four held over Jakarta attack,Indonesian police investigating September #39;s suicide attack on the Australian embassy in Jakarta said yesterday they had arrested four suspects but that a top bombmaker might have eluded arrest 
1,Darfur Peace Talks Overshadowed by Fighting (Reuters),"Reuters - Peace talks on Sudan's war-torn Darfur\region got under way Monday in Nigeria's capital, overshadowed\by fighting between rebels and government forces in the vast\desert area."
1,Burundi Urges Sanctions on Rebels Over Massacre,"DAR ES SALAAM (Reuters) - Burundi will urge regional leaders at a summit on Wednesday to impose sanctions against the rebel Hutu Forces for National Liberation (FNL), blamed for the slaughter of more than 160 Congolese Tutsi refugees in ..."
1,UN chief congratulates Bush on re-election,United Nations Secretary-General Kofi Annan on Wednesday congratulated US President George W. Bush on his re-election and hoped to maintain  quot;positive and productive quot; relations 
1,Iran Sees Small Chance of UN Economic Sanctions,"Iran believes there is only a 10 percent chance the UN Security Council will impose economic sanctions on it if Washington succeeds in sending its nuclear case there, a senior security official said on Friday."
1,Chalabi Escapes Assassination Attempt,"Gunmen opened fire on former Iraqi governing council president Ahmed Chalabi #39;s convoy on Wednesday, wounding two of his bodyguards, the politician and his aides said."
1,Another American beheaded,"BAGHDAD, Sept. 22. - Iraqi officials recovered a decapitated corpse in western Baghdad today and turned it over to US officials, who were investigating if it was the body of Jack Hensley -he second American "
2,Utah Jazz: Russia trip cancelled,"Citing safety concerns, NBA commissioner David Stern announced Friday that the Jazz #39;s scheduled preseason game against CSKA Moscow on Oct. 8 in the Russian capital has been cancelled."
2,Business as usual: Streaking Pats prepare for Jets,"Under normal circumstances, the hype surrounding the Patriots stats, news-Jets game Sunday at Gillette Stadium would come with its own set of pressures, what with their identical "
2,O'Brien drawing interest?,"Looking to fill its football head coaching vacancy after the termination of Keith Gilbertson, the University of Washington may turn to Boston College's Tom O'Brien as a potential candidate."
2,San Jose State Faces Difficult Task (AP),AP - Fitz Hill caught a glimpse of SEC media day on television last month and got another harsh reminder of how different things are where he coaches at San Jose State.
2,Astros roar into share of wild-card lead,"Despite being part of eight playoff teams, including five World Series appearances and two championships, Clemens isn #39;t sure he has ever experienced the kind of wave like the one the Astros are currently riding."
2,"Berkman Injures Knee, May Miss Opener (AP)",AP - Houston Astros outfielder Lance Berkman may miss the start of next season after tearing the anterior cruciate ligament in his right knee while playing flag football.
2,UPDATE 1-Kumble rocks SAfrica as Hall reaches 57 not out,Leg spinner Anil Kumble struck twice in successive balls to leave South Africa faltering on 154 for four at tea on the opening day of the first test against India on Saturday.
2,Hewitt Crushes Gaudio to Reach Masters Semifinals," HOUSTON (Reuters) - Australia's Lleyton Hewitt dispatched  Argentine Gaston Gaudio 6-2, 6-1 Friday to clinch his place in  the Masters Cup semifinals."
2,NL Wrap: 326th Victory for Clemens as Astros Win Again," NEW YORK (Reuters) - Roger Clemens landed his 326th career  victory to earn the Houston Astros a franchise record-tying  12th straight win, a 5-2 decision over the Cincinnati Reds in  the National League (NL) Wednesday."
2,St. Louis in control with third baseman belting two homers,St. Louis manager Tony La Russa was looking for a positive spin on the opening-round postseason struggles of Cardinals clean- up hitter Scott Rolen and quickly 
2,ND aide shaves her head to support Willingham,"The assistant to Notre Dame #39;s president has shaved her head to protest Tyrone Willingham #39;s firing as football coach, saying she will remain bald until the Irish win a national championship."
2,"Carter, Raptors perfect 3-0","No one expected the Toronto Raptors to be 3-0. Not Vince Carter and not their fans. Carter scored 25 points, including a tiebreaking three-pointer with 4.8 seconds left, to help the Raptors get off to their "
2,Beckham to undergo light training soon: Real Madrid:,"Sports India: Madrid, Oct 11: England football captain David Beckham is expected back in Madrid Wednesday and resume light training despite fracturing a rib, reports Xinhua."
2,Badgers Take Control,Scott Starks returns a fumble by Purdue QB Kyle Orton 40 yards for a touchdown in the closing minutes to lift No. 10 Wisconsin to a 20-17 win over No. 5 Purdue.
2,Olerud makes the list,"The man who delivered the knockout punch was picked up from the Seattle scrap heap just after the All-Star Game. Before that, John Olerud certainly hadn't figured on facing Pedro Martinez in Yankee Stadium in October."
2,Monaco strike early against Depor,"Mohammed Kallon and Javier Saviola scored a goal each as Monaco beat Deportivo La Coruna 2-0 in Group A of the Champions League. Kallon and Saviola scored inside the first 10 minutes, but there was not to "
2,Hewitt overcomes Ginepri to reach Washington final,Australian Lleyton Hewitt eased into the final of the Washington Classic on Saturday with a 6-3 6-4 victory over fourth-seeded American Robby Ginepri.
2,"Auburn, LSU will play Saturday","Following consultation with state government, emergency management officials, and Southeastern Conference representatives, Auburn University announced at 9:30 am Friday that the Sept."
2,No. 15 Texas Crushes Chaminade 84-62,Texas withstood foul trouble and the 3-point shooting of Chris Reaves for an 84-62 victory over Chaminade on Monday in the opening round of the Maui Invitational.
2,Piturca back as Romania #39;s boss,"Bucharest, Romania (Sports Network) - Victor Piturca has been re-appointed as Romania #39;s national team coach. Piturca, 48, was fired four years ago after a dispute with Romania legend Gheorghe Hagi."
2,Rowing: Cracknell takes year out to seek new challenges,"James Cracknell confirmed yesterday that he will be taking a year out from his rowing career, a day before his fellow gold medallist from the Olympic fours at this year #39;s Olympics, Matthew "
2,Prem Preview: Blackburn  Portsmouth,Mark Hughes takes charge of Blackburn for the first time and will hope that mediocre travellers Portsmouth will provide an instant success for his nineteenth placed side.
2,Madison Park snags a deadlock with Jets,"The Madison Park boys' soccer team had one goal in mind yesterday: spoiling No. 14 East Boston's perfect record of 14-0. It couldn't hand East Boston a loss, but earned a 2-2 tie."
2,LeBron scores 33 as Cavaliers rip Golden State,"Get INQ7 breaking news on your Smart mobile phone in the Philippines. Send INQ7 BREAKING to 386. CLEVELAND, United States of America -- LeBron James scored 33 points and Zydrunas Ilgauskas added 16 to spark "
2,UPDATE 1-Austin wins Buick Championship in sudden death,Woody Austin birdied the first hole of a sudden-death playoff against Tim Herron to win the Buick Championship on Sunday. Both Austin and Herron completed 72 holes 
3,Toy shoppers get up early,"Crowds at Times Square Toys  #39;R #39; Us find what they #39;re looking for -- after getting in line at 4:30. By Deshundra Jefferson, CNN/Money Staff Writer."
3,Economy outpaces estimates,"The economy grew at a faster pace this spring than previously thought, but was at its weakest showing in more than a year, providing ammunition to both candidates in the final weeks of the presidential race."
3,Technology Challenges Sprint-Nextel Merger,The proposed merger of Sprint Corp. and Nextel Communications Inc. could face a rocky start as the companies work to run and eventually merge two wireless technologies without breaking the bank or losing customers.
3,Kimberly-Clark seeks cut of 400-500 million dollars,"DALLAS, United States (AFP) - Kimberly-Clark, maker of Kleenex tissues and other consumer goods, announced a cost-cutting plan aimed at saving 400 to 500 million dollars over three years, as well as a share buyback plan."
3,House Approves \$477 Billion Defense Bill,"Congress on Saturday approved a \$477 billion defense bill with a military pay raise and new money for Iraq and Afghanistan. Underscoring the bill #39;s lack of controversy, the House approved "
3,"Citrus production down, but stockpiles will pick up slack","Florida growers will pick far fewer oranges and grapefruits this season than last after hurricanes devastated crops in the state, where most US citrus is grown, the government said Tuesday."
3,"Nigeria, Morocco, Others Top African FDI Inflows for 2003","World Investment Report 2004 released yesterday by the United Nations Conference on Trade and Development (UNCTAD) indicated that Morocco, Angola, Equitoria Guinea, Nigeria and Sudan have "
3,Mortgage Applications Rise in Week," NEW YORK (Reuters) - New applications for U.S. home loans  rose last week as 30-year mortgage rates eased to their lowest  level since early April, an industry group said on Wednesday."
3,Jaguar workers vote against strike,Jaguar workers delivered a snub to union leaders by rejecting plans to strike over Ford #39;s decision to stop car assembly at the Browns Lane plant in Coventry.
3,Wal-Mart Posts Weak Sales Forecast,"Wal-Mart Stores Inc., the No. 1 US retailer, on Thursday posted weak November sales and gave its lowest monthly forecast in 19 months for December as high oil prices crimp core lower-income consumers #39; spending."
3,United seeks pension cuts,"Pay and benefits are included in the proposal to pare another \$2 billion in annual costs. United Airlines, still trying after two years to emerge from bankruptcy, officially proposed terminating its employee "
3,BHP Billiton launches A\$1.5 bn share buyback programme,"NEW YORK, October 5 (newratings.com) - BHP Billiton Limited (BHP.NYS), the world #39;s largest mining company, has announced its plans to return up to A\$1."
3,The Scam After the Storm?,"After remnants of Hurricane Gaston hit Richmond, Michael Wright's 1999 Honda CR-V sat under water just blocks from his office for three days before a towing company hauled it away."
3,Kerry Gets Post-Debate Bounce in Election Futures,"Online futures traders raised their bets on Democratic presidential candidate Sen. John Kerry on Friday after the first debate with President Bush, although the overall odds still favored the incumbent."
3,"Bank of America to Cut 4,500 Jobs","Bank of America said Thursday it will cut about 4,500 jobs, or about 2.5 percent of its work force, beginning this month as a result of its merger with FleetBoston Financial Corp."
3,"Ho, ho, ho! IRS has  #39;gift #39; for you","It #39;s soon to be income tax season. You are entering the Alternative Minimum Tax Zone. For a growing number of taxpayers, the AMT strips away your tax deductions and leaves you paying higher taxes."
3,Citigroup to buy First American Bank,"Citigroup of New York said Tuesday it will acquire First American Bank of Bryan, Texas. The transaction is expected to be immediately accretive to Citigroup #39;s earnings."
3,SEC eyes best-price rule for exchanges,"The Securities and Exchange Commission may require brokers to obtain the best prices for their clients' stock trades, a practice now followed only by the New York Stock Exchange, people familiar with the matter said yesterday."
3,Advo Names Harding CEO,"Advo Inc. (AD), which publishes shopping ad circulars and provides other direct-mail marketing services, on Monday said its board of directors had elected Scott Harding chief executive, effective Oct. 15."
3,Oracle ups PeopleSoft offer to \$24 per share,"Oracle, which is in the midst of a hostile takeover attempt of rival PeopleSoft, on Monday raised its offer for the smaller software company by \$3 per share to \$24 per share."
3,UPDATE 2-S amp;P says may upgrade Nextel to investment grade,"Standard  amp; Poor #39;s on Wednesday said it may upgrade Nextel Communications Inc. #39;s (NXTL.O: Quote, Profile, Research) corporate credit rating to investment-grade status, citing earnings and revenue growth and debt reductions."
3,Oil Ends Lower as Ample Winter Fuel Seen," NEW YORK (Reuters) - Oil prices dropped to 2-month lows on  Monday, with U.S. crude falling near \$45 a barrel before paring  losses in late trade, as growing fuel stocks in the United  States eased fears of a winter supply crunch."
3,Terrorist attack pumps up oil prices,"Oil prices rose off three-month lows yesterday, after an attack on the US consulate in Saudi Arabia and reports of an OPEC pledge to raise its minimum price target."
3,U.S. Factory Growth Eases (Reuters),"Reuters - Expansion in the U.S. factory sector\slowed in August as higher costs for energy and raw materials\squeezed manufacturers, a report showed on Wednesday, but\analysts said growth remained relatively robust."
3,Opec resists raising output quota,"VIENNA: Opec is keeping its foot to the pedal on production in a bid to drag down oil prices but may be reluctant to rubber-stamp extra supplies by lifting official output limits, Saudi Arabia said yesterday."
4,Cybercafe nets nomination for style,A funky Melbourne cybercafe in an Elizabeth Street basement has been named one of the best internet cafes in the world in a survey by search engine company Yahoo.
4,Apple plans Toronto retail store,"The Mac maker confirmed to CNET News.com on Friday that it plans to open a store in Toronto in mid-2005. Apple started notifying Canadian retailers of its plans earlier Friday, according to Mac enthusiast site Macosxrumors."
4,Grand Theft Auto: San Andreas Radio,"October 26, 2004 - Whether you #39;re a hardcore gamer or not, you #39;ve gotta give it up to the cats at Rockstar for their attention to sonic detail in their Grand Theft Auto games."
4,Study: E-business customer satisfaction on the rise,"Users of portals, news sites and search engines were a bit less satisfied than average consumer scores overall, a University of Michigan survey show. Scores were higher for online travel, retail, auction and brokerage sites."
4,IBM Inks Outsourcing Deals Worth  #36;1B (AP),"AP - International Business Machines Corp. said Wednesday it signed a pair of outsourcing contracts worth more than  #36;1 billion with two Danish companies, continuing the computer giant's push into northern Europe."
4,P2P Networks Score Legal Victory Against Studios,File-sharing applications Morpheus and Grokster were claiming legal victory after a US court said it was not responsible for protecting the copyrights of material swapped on its person-to-person network.
4,Exercise -- the Real Fountain of Youth,"Want to age gracefully? Keep moving. Regular exercise can reduce the risk of chronic disease -- such as heart trouble, diabetes, even cancer -- and keep you feeling and looking younger as you age."
4,Evidence for water on Mars flows,"This week, scientists f urther confirmed the presence of water on Mars, almost a year after the Mars Exploration Rovers landed on the fourth rocky planet from the sun."
4,Public buildings may go wireless,"Wireless Internet access, already pervasive in other cities, could debut at top Indianapolis locations such as the airport and the Convention Center as early as next year."
4,Cisco routers add services,"Cisco Systems this week will introduce a new line of routers with integrated services that combine concurrent data, security, and voice features in one system."
4,Water of life and other scientific highlights of 2004,"The scientific Breakthrough of the Year awards are less glitzy than the Oscars, but the discoveries they honour are as spirit-stirring as anything to come out of Hollywood."
4,IBM triples transistor performance with germanium,"IBMhas successfully demonstrated a new technique for improving transistor performance that will help the company build smaller, more powerful chips in the next decade, company researchers said Monday."
4,Ex-CIA Chief Gates Warns on Cyberterror (AP),"AP - Cyberterrorism could be the most devastating weapon of mass destruction yet and could cripple the U.S. economy, former CIA Director Robert Gates said at a terrorism conference Saturday."
4,Arm offers \$913 million for chip component firm,"U.K. semiconductor design company Arm Holdings PLC has agreed to acquire a Sunnyvale, California, provider of components for chip manufacturing in a deal valued at around \$913 million in cash and stock."
4, #39;We started to walk six million years ago #39;,"WASHINGTON: Based on recent fossil evidences, American scientists have claimed that a chimp-sized hominid walked upright on two legs in Kenya #39;s Tugen Hills over six million years ago, nearly three million years earlier than currently believed."
4,Gates preps to pitch  #39;XP Reloaded,"Nearly three years have passed since Microsoft Corp. released the last full version of Windows, the Redmond company #39;s most important and profitable product."
4,Amazon Burning Makes Brazil a Leading Polluter (Reuters),"Reuters - Burning of the Amazon and\other forests accounts for three quarters of Brazil's\greenhouse gas emissions and has made the country one of the\world's leading polluters, a long-delayed government report\showed on Wednesday."
4,"Wi-Fi Successor Called High-Speed Hype, for Now"," SAN FRANCISCO (Reuters) - At virtually every turn, Intel  Corp. executives are heaping praise on an emerging long-range  wireless technology known as WiMAX, which can blanket entire  cities with high-speed Internet access."
4,Many Amphibians Threatened Worldwide (AP),"AP - Eye of newt and toe of frog may one day be gone from witches grog. Indeed, not just frogs and newts but amphibians in general are rapidly becoming threatened worldwide, a new study shows."
4,Cellphone That Detects Bad Breath,"Siemens Mobile, the German telecommunications company, has announced that it is working on a mobile phone that makes users aware when they have bad breath."
4,Red Hat vs Sun Battle of Words Heats Up," quot;When the elephants fight, quot; they say in West Africa,  quot;it #39;s the grass that gets trampled. quot;. The Linux community is apparently beginning to identify with that proverb, as it watches Sun Microsystems and Red Hat "
4,Symantec releases patching tool,Security company Symantec Corp. plans to announce the release of a patch management product on Monday that it says will enable small and medium-sized businesses (SMBs) to stay on top of software vulnerabilities.
4,Micron planning its first factory in China,"Micron Technology Inc. is currently in the process of planning its first factory in China and hopes to begin construction in the middle of next year, the company said Monday."
4,"Visa Issues  Vex Tech Workers, Their Employers",Dawn M. Lurie knows how to wake up her audiences when she briefs personnel managers on immigration law: She points out that in some cases executives could face criminal penalties for hiring immigrants without the right visas.
4,Storm aid in high gear,People in Polk and other counties declared disaster areas because of Hurricane Charley are getting federal and state help faster than any other emergency in history.
